dt,ema_stack,rsi_momentum,macd_hist,market_structure,bb_squeeze,session_filter,mtf_daily_trend,candle_momentum,rsi14,log_atr14,adx14,bb_bandwidth,macd_hist_raw,ret1,ret3,rv20,hour_sin,hour_cos,dow_sin,dow_cos
2026-07-20 02:00:00,,,,,,,0.5333333333333333,,,,,,0.0,,,,0.49999999999999994,0.8660254037844387,0.0,1.0
2026-07-20 03:00:00,,,,,,,0.5333333333333333,,,,,,-0.011614814814834062,-0.0011204827866864164,,,0.7071067811865475,0.7071067811865476,0.0,1.0
2026-07-20 04:00:00,,,,,,,0.5333333333333333,,,,,,-0.016919244486666686,0.00012935056793672572,,,0.8660254037844386,0.5000000000000001,0.0,1.0
2026-07-20 05:00:00,,,,,,-0.1,0.5333333333333333,,,,,,-0.01858999429236519,6.774838253331694e-05,-0.0009233838362163738,,0.9659258262890683,0.25881904510252074,0.0,1.0
2026-07-20 06:00:00,,,,,,0.1,0.5333333333333333,,,,,,-0.018619082096935014,-6.158754207064021e-06,0.00019094019626297865,,1.0,6.123233995736766e-17,0.0,1.0
2026-07-20 07:00:00,,,,,,-0.3,0.5333333333333333,,,,,,-0.01948977639285822,-0.00019094019626297865,-0.00012935056793672572,,0.9659258262890683,-0.25881904510252063,0.0,1.0
2026-07-20 08:00:00,,,,,,0.3,0.5333333333333333,,,,,,-0.016585943144456394,0.00021557498551327825,1.8476035043235584e-05,,0.8660254037844387,-0.4999999999999998,0.0,1.0
2026-07-20 09:00:00,,,,,,0.3,0.5333333333333333,,,,,,-0.011175459518557678,0.00024015739661731317,0.00026479218586761277,,0.7071067811865476,-0.7071067811865475,0.0,1.0
2026-07-20 10:00:00,,,,,,0.3,0.5333333333333333,,,,,,-0.00994033044550207,-0.00028942758200578567,0.00016630480012480575,,0.49999999999999994,-0.8660254037844387,0.0,1.0
2026-07-20 11:00:00,,,,,,-0.15,0.5333333333333333,,,,,,-0.008173441008409325,1.847660400056128e-05,-3.079358138791122e-05,,0.258819045102521,-0.9659258262890682,0.0,1.0
2026-07-20 12:00:00,,,,0.0,,0.3,0.5333333333333333,,,,,,-0.0031478186161619237,0.0003078931511941718,3.6942173188947436e-05,,1.2246467991473532e-16,-1.0,0.0,1.0
2026-07-20 13:00:00,,,,0.0,,0.3,0.5333333333333333,,,,,,-0.0003564752751843425,-8.004310017373228e-05,0.0002463266550210008,,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2026-07-20 14:00:00,,,,0.0,,-0.3,0.5333333333333333,,,,,,-0.002046661645125701,-0.00036335307540902306,-0.00013550302438858353,,-0.4999999999999997,-0.8660254037844388,0.0,1.0
2026-07-20 15:00:00,,,,0.0,,-0.3,0.5333333333333333,,,,,,0.0013970557516576332,0.00039413964138557134,-4.925653419718401e-05,,-0.7071067811865471,-0.7071067811865479,0.0,1.0
2026-07-20 16:00:00,,,0.7418271805864801,0.0,,0.3,0.5333333333333333,0.6894348601389052,16.968606646043312,-2.4788765805999167,,,0.008002530367756777,0.0004062938668578653,0.00043708043283441356,,-0.8660254037844384,-0.5000000000000004,0.0,1.0
2026-07-20 17:00:00,,,0.9372959958835944,0.0,,0.15,0.5333333333333333,0.9651852766483472,19.950794242743314,-2.4444073775193242,,,0.01488505293546796,0.000276923930766948,0.0010773574390103846,,-0.9659258262890683,-0.25881904510252063,0.0,1.0
2026-07-20 18:00:00,,,0.987846826550718,0.0,,0.15,0.5333333333333333,0.9530610641158526,23.122586986398787,-2.4616577845012024,,,0.021737957531001162,0.00029530102462516084,0.000978518822249974,,-1.0,-1.8369701987210297e-16,0.0,1.0
2026-07-20 19:00:00,,,0.9897747149315472,0.0,,0.15,0.5333333333333333,0.5146969959560073,22.233170584928345,-2.4728527375507388,,,0.02222846963518288,-0.0002768421555998657,0.00029538279979224313,,-0.9659258262890684,0.2588190451025203,0.0,1.0
2026-07-20 20:00:00,,,0.9720224733176509,0.0,,-0.15,0.5333333333333333,-0.5949475983568888,21.069458597483262,-2.4867906309066434,,,0.017697515794874975,-0.0003692421347221142,-0.00035078326569681906,,-0.8660254037844386,0.5000000000000001,0.0,1.0
2026-07-20 21:00:00,,,0.9599077800468416,0.5,,-0.15,0.5333333333333333,-0.6505655411172756,23.859172955974444,-2.4648567630085063,,0.001751296131809486,0.01653433696946792,0.00024002289564339918,-0.0004060613946785807,,-0.7071067811865477,0.7071067811865474,0.0,1.0
2026-07-20 22:00:00,,,0.9572084210066618,0.5,,-0.15,0.5333333333333333,-0.08390272733544814,24.885501808827783,-2.4861017160151118,,0.0017462946646129092,0.015909863340877795,8.614801464901234e-05,-4.307122442970268e-05,0.0003625272891911033,-0.5000000000000004,0.8660254037844384,0.0,1.0
2026-07-20 23:00:00,,,0.9330720934052725,1.0,,0.15,0.5333333333333333,0.3995356661591136,24.404714572464513,-2.5212392265335897,,0.0017231354818237337,0.013513530929956507,-0.00011691696139948249,0.00020925394889292903,0.0002520210799121299,-0.25881904510252157,0.9659258262890681,0.0,1.0
2026-07-21 00:00:00,,,0.8446023609307061,1.0,,-0.1,0.5333333333333333,-0.3775409811819377,23.729110261741283,-2.550424401556666,,0.0016877684077633414,0.00965472774840986,-0.00016001378614394213,-0.00019078273289441228,0.0002554634175278265,0.0,1.0,0.7818314824680298,0.6234898018587336
2026-07-21 01:00:00,,,0.8157194293404484,0.5,,-0.1,0.5333333333333333,-0.19616880453353203,26.265533997995902,-2.583971826862092,,0.0016800949329779879,0.008633345156009085,0.00018462901928195663,-9.230172826146799e-05,0.0002575852127725205,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336
2026-07-21 02:00:00,,,0.7210956479679029,0.5,,-0.1,0.5333333333333333,-0.1515768151345796,25.803476621238858,-2.630933104704478,,0.0016424590749141322,0.006552473370432812,-9.231024865652415e-05,-6.769501551850965e-05,0.00025912461028257947,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-07-21 03:00:00,,,0.782844268820247,0.5,,0.1,0.5333333333333333,0.6734361975820506,29.7936520820994,-2.6113000723635853,,0.0015756638858031417,0.0077307424385815275,0.00027690518635736794,0.0003692239569828004,0.00025864550461950975,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336
2026-07-21 04:00:00,,,0.6926432870309649,0.5,,0.1,0.5333333333333333,0.0789531971661832,28.90095514508215,-2.5791792701990475,,0.0015201530289882619,0.006468972313040852,-0.0001476732240366374,3.692171366420638e-05,0.0002598757929099949,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-07-21 05:00:00,,,0.513651153582111,1.0,,0.1,0.5333333333333333,0.05432222189388804,28.255151770348505,-2.6096239197616966,,0.0014957836470875542,0.00417595651755122,-0.00010461506281789212,2.4616899502838407e-05,0.00025743179093062885,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336
2026-07-21 06:00:00,,-0.4388685008263451,0.28260548021855414,0.5,,-0.1,0.5333333333333333,-0.5597171616388669,28.056574958682745,-2.620914264822822,30.89347513577638,0.0013774849785407955,0.002113073707944415,-3.077121906613911e-05,-0.00028305950592066864,0.00024713159120731074,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336
2026-07-21 07:00:00,,-0.430208758043357,0.12400096372177874,0.5,,-0.3,0.5333333333333333,-0.2517263723277389,28.48956209783215,-2.65969654245695,31.486863671207125,0.0012392594646949444,0.0008721163729988844,2.461705100209599e-05,-0.00011076923088193524,0.00024711085718953684,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2026-07-21 08:00:00,,-0.39627203697849384,0.13057343530315726,0.5,,0.3,0.5333333333333333,0.1990359258191782,30.18639815107531,-2.6678654610262518,31.164711233508775,0.0011923367095954438,0.0009113856087277616,9.230854445174685e-05,8.615437638770373e-05,0.00023927554944247804,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336
2026-07-21 09:00:00,,-0.3414264150177286,0.32169140766971965,0.5,,0.3,0.5333333333333333,0.5492506319965619,32.92867924911357,-2.6641673008465663,30.081933856084895,0.0011228345032336566,0.002323299240785769,0.00014767595000897416,0.000264601545462817,0.00023934306259861522,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336
2026-07-21 10:00:00,,-0.18850470917019493,0.7876544326258237,0.5,,0.3,0.5333333333333333,0.9155669777058069,40.574764541490254,-2.6345222995255,28.127609837057214,0.0009433231390163144,0.007643315200414402,0.00044904701292569627,0.0006890315073864173,0.00023653534383553097,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336
2026-07-21 11:00:00,,-0.04292663955247747,0.9708606201281661,0.5,,0.15,0.5333333333333333,0.9839113199424566,47.85366802237613,-2.593326993259767,27.633689679369034,0.00122263627526088,0.01575472593566714,0.0005103154536501009,0.0011070384165847713,0.00024592750263250344,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336
2026-07-21 12:00:00,,-0.06083779055699168,0.9867461585174433,0.5,,0.3,0.5333333333333333,0.9553182865463229,46.958110472150416,-2.574186462956517,27.175049532944296,0.0014524018878084729,0.019091929013850054,-7.376444557039008e-05,0.0008855980210054071,0.00023610730158529658,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
2026-07-21 13:00:00,,-0.07175079496333282,0.9891460815655918,0.5,,0.3,0.5333333333333333,0.6928891081152546,46.41246025183336,-2.590452491656896,26.76444445277466,0.0016289692329625935,0.01953738347546886,-4.3031772824164705e-05,0.0003935192352555461,0.0002314716368052275,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336
2026-07-21 14:00:00,,0.03828107672864874,0.9947521077831026,0.5,,0.3,0.5333333333333333,0.530284218205885,51.91405383643244,-2.574375702761456,27.123690463019802,0.0019310469817397124,0.022633518949853486,0.0003933644387812407,0.00027656822038668594,0.0002380081964929747,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
2026-07-21 15:00:00,,0.027629419678550846,0.9938582432360671,0.5,,0.3,0.5333333333333333,0.5712096130149745,51.38147098392754,-2.544094534302454,28.06340997076458,0.0021555606299909352,0.02270992255794852,-3.68713435960899e-05,0.0003134613223609861,0.00022645961363295568,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336
2026-07-21 16:00:00,,0.2303009169329664,0.9983676752256673,0.5,,0.3,0.5333333333333333,0.9821393593074418,61.51504584664832,-2.460849384961119,29.739007286121904,0.0026719252447816376,0.030346682932313795,0.0008783973193207117,0.0012348904145058626,0.0002693432017420544,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336
2026-07-21 17:00:00,,0.3761968928303878,0.9998020510004936,0.5,,0.15,0.5333333333333333,0.9958889331401148,68.80984464151939,-2.3807695241723534,32.1606727988959,0.003538059344330939,0.04263553661538335,0.0009144330692274494,0.0017559590449520712,0.00032176505211917796,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336
2026-07-21 18:00:00,,0.3724364153900416,0.9999076323170887,0.5,,0.15,0.5333333333333333,0.9955225742593423,68.62182076950208,-2.352952496607016,34.40936220361461,0.004140862773237637,0.04746238799322483,-1.2268734357334665e-05,0.0017805616541908265,0.00032366216016092175,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
2026-07-21 19:00:00,,0.3564696417667804,0.9999120477199501,0.5,,0.15,0.5333333333333333,0.902882876693839,67.82348208833902,-2.3704479873524096,36.4974309365677,0.004548455396594108,0.04686808699810023,-4.9076442704354406e-05,0.0008530878921657603,0.0003210329285856766,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336
2026-07-21 20:00:00,,0.380716160225183,0.9998999447156861,0.5,,0.15,0.5333333333333333,0.1639009577066263,69.03580801125915,-2.400272623688393,38.44181980474794,0.004864641134508723,0.04490622801626859,0.00015335588717313442,9.201071011144535e-05,0.0003123234067345919,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336
2026-07-21 21:00:00,,0.5064739177731934,0.9999248834703209,0.5,,0.15,0.5333333333333333,0.9419451023279063,75.32369588865967,-2.3111848779672486,41.066932700706104,0.005468118278321444,0.050511635318669645,0.0009625377404978153,0.0010668171849665953,0.00035896932342065283,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336
2026-07-21 22:00:00,,0.5178902064899953,0.9999553496139217,0.5,,0.15,0.5333333333333333,0.9685608658824622,75.89451032449976,-2.3412752739259983,43.50453753266726,0.005911188721875798,0.051516614643639075,0.00010416826247539035,0.00122006189014634,0.00035287929448702863,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336
2026-07-21 23:00:00,,0.49166000139438326,0.9999293446249475,0.5,,0.15,0.5333333333333333,0.9406572055042286,74.58300006971916,-2.376182932808122,45.82656026336879,0.006233968538739936,0.04761732312437672,-7.352941179750161e-05,0.000993176591175704,0.0003585827732384769,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336
2026-07-22 00:00:00,,0.4024842814790361,0.9996150812159638,0.5,,-0.1,0.5333333333333333,-0.3765127927833674,70.1242140739518,-2.397870488437663,46.69397984438978,0.00633618370722543,0.03888929519405826,-0.0002512662914977426,-0.00022062744081985386,0.0003646112401123511,0.0,1.0,0.9749279121818236,-0.22252093395631434
2026-07-22 01:00:00,,0.44839183625162377,0.9989713203445466,0.5,,0.0,0.5333333333333333,0.0,72.41959181258119,-2.4248758396397014,47.65891440328258,0.0063940184829389245,0.03350247030455583,0.0003247957032952442,0.0,0.0003584602271429732,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
2026-07-22 02:00:00,,0.40880356056278516,0.9953571230671402,1.0,,-0.1,0.5333333333333333,-0.0701563708971437,70.44017802813926,-2.4606112999928538,48.64631268608927,0.006294764840979669,0.025884819975488804,-0.00011029614526147924,-3.676673346397763e-05,0.00036180471008340464,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2026-07-22 03:00:00,,0.3023204882232344,0.9293724598979326,1.0,,-0.1,0.5333333333333333,-0.1621115786845998,65.11602441116172,-2.3890961065775533,46.98046476672389,0.006020895864963215,0.015167099314113086,-0.00030644202663143716,-9.194246859767219e-05,0.0003781874390362072,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434
2026-07-22 04:00:00,,0.31568889480892326,0.639141538724608,0.5,,-0.1,0.5333333333333333,-0.5414597249180216,65.78444474044616,-2.381888783964598,45.433605984456044,0.005671685493105487,0.006990281523417768,7.355465113878523e-05,-0.00034318352075413117,0.0003784882252798695,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
2026-07-22 05:00:00,,0.251144880707665,-0.19638001384510442,-1.0,,-0.1,0.5333333333333333,-0.6210915363308099,62.55724403538325,-2.369116342821635,43.513454185700304,0.00521795362085505,-0.0018615794191505775,-0.00018389677312935504,-0.00041678414862200697,0.0003879410224204761,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
2026-07-22 06:00:00,,0.2992710047913124,-0.5979143208399408,-1.0,,0.1,0.5333333333333333,0.2272189118180399,64.96355023956562,-2.3989986254666924,41.73045608685569,0.00484662242260281,-0.006264853434488626,0.00023905921120093154,0.00012871708921036173,0.0003831213544551622,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
2026-07-22 07:00:00,,0.3174401769496399,-0.779359428739801,-1.0,,0.3,0.5333333333333333,0.26667284219287946,65.872008847482,-2.4324375968120977,40.398310885211295,0.004569940857330583,-0.009166357510731471,9.193063533619039e-05,0.0001470930734077669,0.0003749352099421405,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
2026-07-22 08:00:00,,0.13745682969999734,-0.9601848663262631,-1.0,,-0.3,0.5333333333333333,-0.3349563556099397,56.87284148499987,-2.419365775148407,38.18060485188171,0.004110326432253457,-0.01733535404391287,-0.0005210520464968837,-0.0001900621999597618,0.00040137736915959863,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
2026-07-22 09:00:00,,0.1433876057293996,-0.9873944659257954,-1.0,,-0.3,0.5333333333333333,-0.627335246590123,57.16938028646998,-2.41294665544055,35.621364446138585,0.0034963166968433037,-0.022658397645697492,2.4526184769335657e-05,-0.0004045952263913577,0.0004001500239406971,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
2026-07-22 10:00:00,,-0.10120058776174418,-0.9955493702488324,-1.0,,-0.3,0.5333333333333333,-0.9611272956610385,44.93997061191279,-2.1516047095631694,35.9111481520859,0.0030205818070540773,-0.03550343450876736,-0.0009017326759117594,-0.0013982585376393075,0.00045627357876444163,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
2026-07-22 11:00:00,,-0.07755890348736315,-0.9979028230965455,-1.0,,-0.15,0.5333333333333333,-0.7827879252697044,46.12205482563184,-2.099139421580235,36.18023302189412,0.002373531288138987,-0.04203418958149882,8.591434345284199e-05,-0.0007912921476895818,0.000455641955122027,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
