dt,p_high_vol,pred_range_atr
2026-07-13 01:00:00,0.44585524897708556,0.93805815652936486
2026-07-13 02:00:00,0.64062257891186958,1.3898733654258502
2026-07-13 03:00:00,0.58821839422324007,1.8618171517621369
2026-07-13 04:00:00,0.70613349928738534,1.9702362696264584
2026-07-13 05:00:00,0.56685136814790904,1.5901646776079637
2026-07-13 06:00:00,0.53125347627694375,1.8689709750516774
2026-07-13 07:00:00,0.7275987119220757,2.4526427534217681
2026-07-13 08:00:00,0.88561609271444841,3.0070112403484575
2026-07-13 09:00:00,0.91838656239711591,2.3259158702835547
2026-07-13 10:00:00,0.82160195872194797,2.6801142802215994
2026-07-13 11:00:00,0.57149878576292801,2.1265383388483934
2026-07-13 12:00:00,0.60581469887289774,2.6465546110860756
2026-07-13 13:00:00,0.52662172065954715,2.2490777681333403
2026-07-13 14:00:00,0.8065260440106381,3.1494679021641483
2026-07-13 15:00:00,0.8631325809971494,1.6430490023940423
2026-07-13 16:00:00,0.82824653870774789,2.1860584799046316
2026-07-13 17:00:00,0.51724320121661638,1.7629053547744871
2026-07-13 18:00:00,0.28203640632721855,0.99072895818036555
2026-07-13 19:00:00,0.22496813890897199,1.3931129962479292
2026-07-13 20:00:00,0.27443180162077635,0.80739140233826445
2026-07-13 21:00:00,0.05266631151793616,0.57729504148862987
2026-07-13 22:00:00,0.053272635937269573,0.5219191364422674
2026-07-13 23:00:00,0.051485236203696598,0.54660262908325985
2026-07-14 00:00:00,0.038358217388932386,0.52354476163817443
2026-07-14 01:00:00,0.037592130330031795,0.55165561354972603
2026-07-14 02:00:00,0.085350105045012489,0.76662104117985375
2026-07-14 03:00:00,0.094987579738885303,0.80738347263557364
2026-07-14 04:00:00,0.066514604444168124,0.6331254106919344
2026-07-14 05:00:00,0.043152371799148138,0.65256911351162528
2026-07-14 06:00:00,0.051888466077171673,0.68723033608907047
2026-07-14 07:00:00,0.12541386703386181,0.82437630384166816
2026-07-14 08:00:00,0.57947101023366365,1.3813441792431986
2026-07-14 09:00:00,0.74029585884111415,1.5843727012794935
2026-07-14 10:00:00,0.64898364229763583,1.4644064343907162
2026-07-14 11:00:00,0.39159841562311049,1.2062950042245013
2026-07-14 12:00:00,0.37155715430574571,1.154409871573006
2026-07-14 13:00:00,0.44619542570414167,1.3037041832888328
2026-07-14 14:00:00,0.74328996067866171,2.0842796118739968
2026-07-14 15:00:00,0.77156440919986569,1.8384527226317655
2026-07-14 16:00:00,0.8687539720407057,1.7191350988528493
2026-07-14 17:00:00,0.43306003455586739,1.1992697702985584
2026-07-14 18:00:00,0.15578480575268436,0.86118922800188502
2026-07-14 19:00:00,0.10645693488489129,0.77368719551572851
2026-07-14 20:00:00,0.083891058909871322,0.79724259258863051
2026-07-14 21:00:00,0.059510024325338237,0.58963720135068176
2026-07-14 22:00:00,0.0539775353042223,0.50671115724802607
2026-07-14 23:00:00,0.041792500144893524,0.50418267646827442
2026-07-15 00:00:00,0.042522527418805738,0.54295387715889609
2026-07-15 01:00:00,0.03958437784570578,0.5718255788665545
2026-07-15 02:00:00,0.090397196808299052,0.77060682323994067
2026-07-15 03:00:00,0.11332349929327687,0.85083141755040737
2026-07-15 04:00:00,0.077240419355422626,0.71174333343181206
2026-07-15 05:00:00,0.04916658243549684,0.71377415834083802
2026-07-15 06:00:00,0.042643536387949661,0.64372444499235992
2026-07-15 07:00:00,0.10189579963710406,0.80620885827624633
2026-07-15 08:00:00,0.55342136286288257,1.3712478972392246
2026-07-15 09:00:00,0.69751301997548709,1.5490608445513674
2026-07-15 10:00:00,0.58473938033458572,1.4245597178638019
2026-07-15 11:00:00,0.3694566336976336,1.2155161838408439
2026-07-15 12:00:00,0.31512507628539366,1.1700128822033298
2026-07-15 13:00:00,0.3564750140540901,1.198346945881638
2026-07-15 14:00:00,0.73457934691970939,1.9336595118717923
2026-07-15 15:00:00,0.77215557998325823,1.7519311763389873
2026-07-15 16:00:00,0.76732579806085466,1.8005253078543939
2026-07-15 17:00:00,0.45101120726567451,1.3252319698123396
2026-07-15 18:00:00,0.18952583418541039,1.0778328047685333
2026-07-15 19:00:00,0.14011714152808666,0.99556921066773651
2026-07-15 20:00:00,0.47902171169042851,1.1840772180994872
2026-07-15 21:00:00,0.079173195539206917,0.79627129560617094
2026-07-15 22:00:00,0.067712638391996052,0.61887789827614292
2026-07-15 23:00:00,0.040268415608330707,0.57361370329871353
2026-07-16 00:00:00,0.041708122647192918,0.5911971975138991
2026-07-16 01:00:00,0.046563978766531289,0.64592010234766573
2026-07-16 02:00:00,0.10130246860467354,0.85295220201459188
2026-07-16 03:00:00,0.12526610123416351,0.88414094125595277
2026-07-16 04:00:00,0.063560109551137708,0.69826964590379037
2026-07-16 05:00:00,0.035902001067489156,0.61145058397785934
2026-07-16 06:00:00,0.038660783945348186,0.61985354436314288
2026-07-16 07:00:00,0.092317658852696438,0.78348752280284228
2026-07-16 08:00:00,0.49165965864455602,1.3010992095204508
2026-07-16 09:00:00,0.71363001483390742,1.5043836226868486
2026-07-16 10:00:00,0.59859281794258046,1.3980147638634233
2026-07-16 11:00:00,0.31670669148625002,1.1318237521146788
2026-07-16 12:00:00,0.27099284727090062,1.0809239055627446
2026-07-16 13:00:00,0.32210820693289022,1.1938876532450906
2026-07-16 14:00:00,0.6627535386339436,2.0815088022474355
2026-07-16 15:00:00,0.75998337114293057,1.7963800539625452
2026-07-16 16:00:00,0.73951328076274114,1.8107373784325684
2026-07-16 17:00:00,0.3918365197620427,1.2869482867053783
2026-07-16 18:00:00,0.14928739958337561,0.93300165972224114
2026-07-16 19:00:00,0.1502308590067348,0.91219672239203087
2026-07-16 20:00:00,0.097829963778186355,0.82444252019175701
2026-07-16 21:00:00,0.061957903268456974,0.66809389041958389
2026-07-16 22:00:00,0.059946657917371832,0.61032227585480225
2026-07-16 23:00:00,0.046265801902894664,0.58661409432541733
2026-07-17 00:00:00,0.058751905324649724,0.62453916991920744
2026-07-17 01:00:00,0.055897240303073484,0.64191321237642707
2026-07-17 02:00:00,0.099376637895395414,0.79835706809879048
